applicant_id,age,annual_income,employment_type,education,credit_score,loan_amount,num_dependents,months_employed,region,has_default
10000,44.0,32017.0,salaried,bachelor,673.0,16342.0,1,61.0,central,0
10001,28.0,28769.0,self-employed,bachelor,731.0,5425.0,3,87.0,south,1
10002,49.0,49862.0,salaried,bachelor,675.0,13948.0,3,27.0,north,0
10003,51.0,45521.0,self-employed,highschool,850.0,13681.0,2,47.0,central,0
10004,18.0,19883.0,self-employed,master,779.0,4966.0,1,16.0,central,0
10005,24.0,70357.0,salaried,bachelor,622.0,7154.0,0,82.0,central,0
10006,42.0,38288.0,salaried,bachelor,621.0,8337.0,1,30.0,central,0
10007,36.0,23030.0,unemployed,master,692.0,6191.0,0,94.0,central,0
10008,40.0,72721.0,unemployed,bachelor,575.0,18676.0,2,,central,1
10009,30.0,54876.0,salaried,highschool,755.0,27042.0,1,50.0,central,0
10010,51.0,21327.0,,bachelor,683.0,2638.0,1,49.0,west,0
10011,49.0,97596.0,salaried,phd,673.0,28740.0,1,,south,0
10012,41.0,55793.0,unemployed,highschool,712.0,6626.0,1,56.0,east,1
10013,54.0,,self-employed,bachelor,805.0,22574.0,1,86.0,south,1
10014,46.0,88886.0,salaried,highschool,665.0,44008.0,0,65.0,east,0
10015,,43462.0,self-employed,master,640.0,25690.0,0,116.0,west,0
10016,44.0,39575.0,salaried,bachelor,786.0,21967.0,1,44.0,south,0
10017,28.0,28850.0,salaried,master,737.0,7440.0,0,,north,0
10018,51.0,53687.0,self-employed,bachelor,621.0,23933.0,0,31.0,west,0
10019,,50935.0,salaried,highschool,650.0,12901.0,3,158.0,central,0
10020,38.0,40431.0,self-employed,bachelor,668.0,21998.0,2,20.0,central,0
10021,32.0,27038.0,salaried,master,683.0,8257.0,2,83.0,north,0
10022,55.0,42829.0,self-employed,highschool,528.0,12332.0,1,87.0,east,0
10023,38.0,38758.0,,highschool,511.0,21590.0,3,85.0,east,1
10024,35.0,20604.0,salaried,bachelor,570.0,10681.0,2,,east,1
10025,36.0,19227.0,,bachelor,563.0,11214.0,4,23.0,west,1
10026,46.0,53241.0,self-employed,highschool,592.0,7094.0,0,50.0,east,1
10027,44.0,10928.0,salaried,highschool,707.0,2422.0,0,76.0,central,0
10028,45.0,44476.0,self-employed,highschool,635.0,11138.0,0,38.0,central,0
10029,,31601.0,salaried,bachelor,668.0,9865.0,2,46.0,west,0
10030,66.0,77198.0,salaried,bachelor,540.0,25982.0,1,38.0,east,0
10031,35.0,31359.0,,bachelor,608.0,7706.0,1,59.0,east,0
10032,34.0,55812.0,salaried,master,703.0,27639.0,1,56.0,central,0
10033,30.0,32910.0,salaried,highschool,704.0,6965.0,2,127.0,south,0
10034,47.0,42484.0,salaried,bachelor,585.0,19044.0,2,,central,0
10035,54.0,58013.0,self-employed,bachelor,665.0,30508.0,2,24.0,east,1
10036,39.0,31848.0,unemployed,bachelor,848.0,12798.0,2,,north,1
10037,30.0,66057.0,salaried,bachelor,648.0,18303.0,0,84.0,west,0
10038,30.0,24420.0,salaried,bachelor,588.0,4736.0,1,56.0,south,0
10039,48.0,46504.0,salaried,master,634.0,7774.0,0,153.0,east,0
10040,49.0,63661.0,self-employed,highschool,658.0,30053.0,1,152.0,central,1
10041,47.0,55827.0,salaried,highschool,636.0,18678.0,0,31.0,west,0
10042,32.0,104634.0,salaried,bachelor,647.0,12887.0,1,66.0,west,0
10043,43.0,27400.0,salaried,bachelor,520.0,16218.0,2,25.0,north,0
10044,41.0,20139.0,salaried,highschool,563.0,8774.0,0,83.0,central,1
10045,43.0,24412.0,self-employed,master,637.0,12745.0,1,137.0,south,0
10046,50.0,55839.0,salaried,master,635.0,17818.0,2,61.0,north,0
10047,43.0,51481.0,salaried,bachelor,599.0,29741.0,2,43.0,central,0
10048,48.0,42240.0,salaried,bachelor,634.0,8438.0,2,70.0,north,0
10049,41.0,22892.0,salaried,highschool,655.0,4408.0,0,93.0,south,0
10050,43.0,58890.0,salaried,bachelor,730.0,32105.0,0,93.0,north,0
10051,,21756.0,salaried,bachelor,641.0,11876.0,1,43.0,west,0
10052,23.0,71645.0,salaried,master,686.0,25041.0,2,37.0,central,0
10053,36.0,167497.0,salaried,bachelor,601.0,27284.0,1,64.0,east,0
10054,34.0,48205.0,salaried,highschool,701.0,12177.0,2,45.0,central,1
10055,32.0,53721.0,self-employed,highschool,684.0,25629.0,2,,central,0
10056,37.0,31369.0,salaried,highschool,728.0,16406.0,1,45.0,central,0
10057,58.0,16234.0,salaried,master,714.0,4445.0,4,58.0,north,0
10058,,29692.0,self-employed,master,703.0,3878.0,1,69.0,south,0
10059,52.0,23238.0,salaried,master,641.0,10059.0,1,21.0,south,0
10060,20.0,19467.0,salaried,master,672.0,9145.0,0,39.0,west,0
10061,36.0,94957.0,self-employed,highschool,746.0,29627.0,0,,central,0
10062,42.0,46002.0,salaried,bachelor,591.0,18012.0,0,91.0,south,0
10063,47.0,48525.0,unemployed,bachelor,593.0,28809.0,0,45.0,west,0
10064,49.0,34389.0,salaried,highschool,666.0,7652.0,0,83.0,north,0
10065,50.0,36811.0,self-employed,bachelor,687.0,14227.0,2,107.0,east,0
10066,,65009.0,self-employed,bachelor,576.0,26360.0,2,49.0,west,0
10067,34.0,39491.0,salaried,master,643.0,14792.0,1,88.0,south,0
10068,50.0,52331.0,salaried,highschool,642.0,27974.0,1,81.0,north,1
10069,38.0,36388.0,self-employed,master,451.0,14646.0,3,,east,1
10070,25.0,33824.0,salaried,master,630.0,11972.0,2,,west,1
10071,26.0,19862.0,salaried,master,636.0,3208.0,0,129.0,central,1
10072,29.0,14930.0,unemployed,highschool,636.0,6742.0,1,147.0,west,1
10073,46.0,35215.0,self-employed,highschool,777.0,5848.0,1,91.0,west,0
10074,42.0,41285.0,unemployed,bachelor,541.0,4677.0,3,38.0,east,1
10075,48.0,21098.0,self-employed,highschool,576.0,7263.0,2,10.0,central,1
10076,35.0,39449.0,self-employed,highschool,415.0,15236.0,1,35.0,central,0
10077,42.0,41228.0,self-employed,master,607.0,24717.0,2,23.0,central,0
10078,48.0,13657.0,self-employed,highschool,614.0,6230.0,6,134.0,central,1
