customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,senior_citizen,churn
C00000,40,19.85,767.32,month-to-month,credit-card,fiber-optic,0,1
C00001,2,67.65,140.91,one-year,bank-transfer,fiber-optic,1,0
C00002,9,119.06,1174.03,one-year,mailed-check,fiber-optic,0,1
C00003,58,45.4, ,month-to-month,credit-card,fiber-optic,0,1
C00004,30,67.95,2231.17,month-to-month,mailed-check,none,0,0
C00005,50,,1514.56,month-to-month,credit-card,none,0,0
C00006,64,33.97,2348.16,two-year,bank-transfer,fiber-optic,0,1
C00007,6,44.97,271.8,two-year,mailed-check,dsl,0,1
C00008,32,,1053.83,month-to-month,credit-card,fiber-optic,1,1
C00009,10,51.45,543.86,two-year,bank-transfer,none,0,0
C00010,60,,7403.83,one-year,credit-card,none,0,0
C00011,32,68.92,2380.64,month-to-month,electronic-check,none,0,1
C00012,63,,6358.03,month-to-month,mailed-check,fiber-optic,0,1
C00013,21,102.75,2170.83,two-year,mailed-check,fiber-optic,0,1
C00014,10,36.75,372.89,month-to-month,bank-transfer,dsl,0,1
C00015,62,45.05,2768.96,one-year,credit-card,fiber-optic,1,0
C00016,44,92.97,4245.85,one-year,electronic-check,dsl,0,1
C00017,13,50.97,686.8,one-year,electronic-check,none,0,0
C00018,49,90.99,4592.67,month-to-month,bank-transfer,dsl,0,0
C00019,30,120.32,3293.64,month-to-month,mailed-check,none,0,1
C00020,3,26.34,86.34,two-year,bank-transfer,fiber-optic,0,1
C00021,18,59.29,1032.16,month-to-month,electronic-check,dsl,0,0
C00022,54,64.05,3283.24,month-to-month,bank-transfer,fiber-optic,0,0
C00023,9,54.21,459.69,month-to-month,electronic-check,fiber-optic,0,1
C00024,24,51.76,1135.25,one-year,credit-card,fiber-optic,0,1
C00025,18,55.24,985.71,month-to-month,electronic-check,fiber-optic,0,1
C00026,52,69.54,3284.65,one-year,electronic-check,fiber-optic,0,1
C00027,61,74.95,4261.69,month-to-month,electronic-check,dsl,0,1
C00028,56,,4975.38,one-year,electronic-check,none,0,0
C00029,51,69.25,3301.79,two-year,mailed-check,none,0,0
C00030,6,103.55,682.81,month-to-month,bank-transfer,fiber-optic,0,1
C00031,65,52.25,3424.15,one-year,credit-card,dsl,0,0
C00032,11,33.96,341.21,one-year,credit-card,fiber-optic,0,1
C00033,29,60.86,1787.51,one-year,electronic-check,dsl,1,1
C00034,59,83.87,5048.37,month-to-month,mailed-check,none,0,0
C00035,17,95.81,1644.39,one-year,credit-card,dsl,0,1
C00036,15,113.81,1651.11,month-to-month,electronic-check,dsl,0,1
C00037,1,78.71,81.18,month-to-month,bank-transfer,dsl,0,0
C00038,25,92.59,2149.31,month-to-month,mailed-check,fiber-optic,1,0
C00039,35,111.06,3669.19,month-to-month,electronic-check,fiber-optic,0,0
C00040,33,46.62,1690.78,month-to-month,electronic-check,fiber-optic,0,1
C00041,2,63.7,125.24,one-year,mailed-check,fiber-optic,0,0
C00042,14,150.0,1952.07,one-year,electronic-check,none,1,0
C00043,0,95.69,0.0,month-to-month,electronic-check,fiber-optic,1,1
C00044,16,85.32,1426.33,month-to-month,bank-transfer,dsl,0,1
C00045,43,96.81,3843.36,one-year,credit-card,fiber-optic,1,1
C00046,0,29.93,0.0,month-to-month,bank-transfer,fiber-optic,0,1
C00047,11,50.6,537.45,one-year,bank-transfer,fiber-optic,0,0
C00048,39,39.63,1461.52,month-to-month,electronic-check,fiber-optic,0,1
C00049,40,82.56,3287.03,two-year,mailed-check,fiber-optic,0,0
C00050,64,58.93,3477.5,month-to-month,bank-transfer,dsl,1,1
C00051,41,72.86,2961.38,one-year,electronic-check,fiber-optic,0,0
C00052,66,60.67,3629.89,month-to-month,bank-transfer,fiber-optic,0,0
C00053,52,21.21,1206.55,month-to-month,electronic-check,fiber-optic,1,1
C00054,39,96.55,3844.4,two-year,mailed-check,dsl,0,1
C00055,27,17.13,423.3,two-year,bank-transfer,dsl,0,0
C00056,8,48.17,361.53,month-to-month,credit-card,dsl,0,1
C00057,50,30.54,1598.99,month-to-month,electronic-check,fiber-optic,0,1
C00058,67,43.61,3057.1,two-year,bank-transfer,dsl,0,0
C00059,26,76.06,1924.05,month-to-month,bank-transfer,fiber-optic,0,1
C00060,25,107.05,2488.09,two-year,electronic-check,dsl,0,0
C00061,7,23.17,163.36,month-to-month,bank-transfer,fiber-optic,0,1
C00062,43,53.28,2188.74,month-to-month,electronic-check,fiber-optic,0,1
C00063,22,17.53,354.53,month-to-month,bank-transfer,fiber-optic,0,1
C00064,0,51.84,0.0,month-to-month,electronic-check,fiber-optic,0,1
C00065,0,72.16,0.0,month-to-month,electronic-check,fiber-optic,0,1
C00066,24,93.01,2167.18,month-to-month,electronic-check,fiber-optic,0,1
C00067,33,15.0,449.54,two-year,mailed-check,fiber-optic,0,0
C00068,32,86.52,2558.34,month-to-month,electronic-check,fiber-optic,0,1
C00069,53,40.82,2205.19,one-year,mailed-check,dsl,0,0
C00070,38,33.51,1279.19,month-to-month,credit-card,fiber-optic,0,1
C00071,56,72.02,4174.44,one-year,credit-card,none,0,0
C00072,21,88.81,1891.87,month-to-month,credit-card,dsl,0,0
C00073,16,66.99,1071.19,one-year,mailed-check,dsl,0,1
C00074,38,37.21,1406.8,one-year,electronic-check,fiber-optic,1,0
C00075,7,66.97,512.07,two-year,mailed-check,fiber-optic,0,0
C00076,55,48.24, ,two-year,electronic-check,none,0,0
C00077,13,88.12,1118.74,month-to-month,electronic-check,dsl,0,0
C00078,65,102.26,6850.97,month-to-month,mailed-check,none,0,1
C00079,70,100.34,6350.37,month-to-month,bank-transfer,fiber-optic,0,1
C00080,38,69.41,2384.79,one-year,credit-card,fiber-optic,0,1
C00081,22,103.68,2198.19,month-to-month,bank-transfer,fiber-optic,0,1
C00082,24,39.37,993.04,two-year,mailed-check,dsl,1,0
C00083,30,123.49,4019.81,two-year,bank-transfer,dsl,0,0
C00084,34,39.2,1381.66,month-to-month,credit-card,fiber-optic,1,1
C00085,5,15.0,78.1,month-to-month,bank-transfer,dsl,0,0
C00086,14,110.96,1408.11,month-to-month,credit-card,dsl,0,0
C00087,56,48.7,2961.58,month-to-month,credit-card,dsl,0,0
C00088,3,73.5,202.28,month-to-month,bank-transfer,none,1,1
C00089,32,39.08,1362.19,month-to-month,credit-card,dsl,0,1
C00090,63,140.91,8241.08,two-year,mailed-check,fiber-optic,0,0
C00091,6,124.65,678.13,one-year,mailed-check,fiber-optic,0,1
C00092,66,,7779.91,month-to-month,electronic-check,none,1,1
C00093,34,72.65,2279.26,month-to-month,electronic-check,fiber-optic,0,1
C00094,30,,2701.56,one-year,bank-transfer,fiber-optic,0,1
C00095,51,,3605.93,month-to-month,credit-card,dsl,1,1
